Class,Count,Accuracy,Precision,Recall,F1 Score,AUC
english_springer,3,0.9182165605095541,0.6968085106382979,0.33164556962025316,0.44939965694682676,0.8740818302434825
cassette_player,3,0.9296815286624204,0.6680497925311203,0.45098039215686275,0.5384615384615384,0.8728622614965268
chain_saw,3,0.9026751592356688,0.524390243902439,0.11139896373056994,0.18376068376068377,0.7398338572267276
church,3,0.9075159235668789,0.597457627118644,0.34474327628361856,0.4372093023255814,0.8524975591845592
french_horn,3,0.9011464968152866,0.5145631067961165,0.26903553299492383,0.35333333333333333,0.8291226224002921
garbage_truck,3,0.9238216560509555,0.7556818181818182,0.34190231362467866,0.47079646017699117,0.8468088787818865
gas_pump,3,0.8871337579617834,0.4423076923076923,0.21957040572792363,0.2934609250398724,0.7630648856988428
golf_ball,3,0.910828025477707,0.6172248803827751,0.3233082706766917,0.4243421052631579,0.8289306647219296
parachute,3,0.9365605095541402,0.7357859531772575,0.5641025641025641,0.6386066763425254,0.9147992601457948
tench,4,0.9414012738853503,0.7625418060200669,0.5891472868217055,0.6647230320699709,0.9160754481064208
english_springer,4,0.9098089171974523,0.6394557823129252,0.2379746835443038,0.34686346863468637,0.8503854842758274
cassette_player,4,0.9243312101910828,0.6162790697674418,0.44537815126050423,0.5170731707317073,0.8747055997286808
chain_saw,4,0.9019108280254777,0.5142857142857142,0.046632124352331605,0.0855106888361045,0.73207794128197
church,4,0.904203821656051,0.5492537313432836,0.44987775061124696,0.4946236559139785,0.8530886398469032
french_horn,4,0.9014012738853503,0.52,0.23096446700507614,0.31985940246045697,0.8020628027032505
garbage_truck,4,0.9182165605095541,0.6278195488721805,0.42930591259640105,0.5099236641221374,0.8632370389326385
gas_pump,4,0.8937579617834395,0.5086206896551724,0.14081145584725538,0.2205607476635514,0.7687047230319112
golf_ball,4,0.9103184713375796,0.6192893401015228,0.3057644110275689,0.40939597315436244,0.8331655855463957
parachute,4,0.9345222929936305,0.7071651090342679,0.5820512820512821,0.6385372714486639,0.9086657237152287
tench,5,0.9485350318471337,0.8178694158075601,0.6149870801033591,0.7020648967551623,0.9157906114930844
english_springer,5,0.9128662420382165,0.606425702811245,0.3822784810126582,0.468944099378882,0.8648495714849213
cassette_player,5,0.9217834394904458,0.5827814569536424,0.49299719887955185,0.5341426403641881,0.8860184208212432
chain_saw,5,0.902420382165605,0.5245901639344263,0.08290155440414508,0.14317673378076062,0.7505596411269246
church,5,0.9136305732484077,0.6666666666666666,0.3422982885085575,0.45234248788368336,0.8596725830364021
french_horn,5,0.8935031847133758,0.44,0.2233502538071066,0.2962962962962963,0.8081373534193876
garbage_truck,5,0.9169426751592357,0.6216216216216216,0.4138817480719794,0.49691358024691357,0.8476878293338296
gas_pump,5,0.8894267515923567,0.45098039215686275,0.16467780429594273,0.24125874125874125,0.7534632072941442
golf_ball,5,0.9131210191082803,0.6510416666666666,0.3132832080200501,0.4230118443316413,0.8339645199214714
parachute,5,0.9337579617834395,0.6946107784431138,0.5948717948717949,0.6408839779005525,0.9074355347622675
tench,6,0.9424203821656051,0.7804878048780488,0.5788113695090439,0.6646884272997032,0.9153538620193016
english_springer,6,0.9128662420382165,0.6127659574468085,0.36455696202531646,0.45714285714285713,0.8682963387958548
cassette_player,6,0.9307006369426751,0.6872246696035242,0.4369747899159664,0.5342465753424658,0.8770765032470387
chain_saw,6,0.9006369426751593,0.4772727272727273,0.10880829015544041,0.17721518987341772,0.7038433326940223
church,6,0.9143949044585987,0.6431372549019608,0.40097799511002447,0.4939759036144578,0.8550412921996825
french_horn,6,0.9039490445859872,0.5548387096774193,0.2182741116751269,0.3132969034608379,0.8252368075651912
garbage_truck,6,0.9220382165605095,0.6680161943319838,0.4241645244215938,0.5188679245283019,0.865157789435727
gas_pump,6,0.8894267515923567,0.453416149068323,0.17422434367541767,0.2517241379310345,0.7667176759377377
golf_ball,6,0.9151592356687898,0.65,0.3583959899749373,0.4620355411954766,0.8401761636081128
parachute,6,0.9337579617834395,0.6815642458100558,0.6256410256410256,0.6524064171122995,0.9083269865448085
tench,7,0.9459872611464968,0.8181818181818182,0.5813953488372093,0.6797583081570997,0.9153392550134896
english_springer,7,0.9169426751592357,0.7197452229299363,0.28607594936708863,0.40942028985507245,0.8683931581023415
